Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,117799584,1509.0301823180284,2923425,37.44950882630523,446872,2615018,33.49876931063633,59044,0.7563624170759864,9332,
United States,Americas,28879927,8724.98,476511,143.96,52732,523986,158.3,10915,3.3,1502,Community transmission
India,South-East Asia,11285561,817.79,128638,9.32,22854,158189,11.46,754,0.05,126,Clusters of cases
Brazil,Americas,11122429,5232.62,475503,223.7,70764,268370,126.26,11009,5.18,1972,Community transmission
Russia,Europe,4360823,2988.21,70688,48.44,9270,90734,62.17,2911,1.99,459,Clusters of cases
United Kingdom,Europe,4234928,6238.29,40139,59.13,5926,124987,184.11,1204,1.77,190,Community transmission
France,Europe,3894447,5966.35,150387,230.4,30112,89077,136.47,1984,3.04,264,Community transmission
Spain,Europe,3178442,6798.11,30308,64.82,2910,71961,153.91,518,1.11,18,Community transmission
Italy,Europe,3123368,5165.85,147094,243.28,22275,100811,166.73,2176,3.6,332,Clusters of cases
Turkey,Europe,2821943,3345.95,87107,103.28,14556,29227,34.65,456,0.54,67,Community transmission
Germany,Europe,2532947,3023.19,61005,72.81,14356,72810,86.9,1570,1.87,321,Community transmission
Colombia,Americas,2282372,4485.54,22773,44.76,3511,60676,119.25,704,1.38,78,Community transmission
Argentina,Americas,2169694,4800.66,43163,95.5,7693,53359,118.06,906,2,107,Community transmission
Mexico,Americas,2137884,1658.14,40690,31.56,7407,191789,148.75,4602,3.57,866,Community transmission
Poland,Europe,1849424,4886.63,98765,260.96,21111,46373,122.53,1724,4.56,376,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1715162,2042.03,66988,79.75,8603,60928,72.54,661,0.79,61,Community transmission
South Africa,Africa,1524174,2569.9,7912,13.34,1477,51015,86.02,649,1.09,109,Community transmission
Ukraine,Europe,1425522,3259.55,50760,116.07,9084,27685,63.3,1094,2.5,262,Community transmission
Indonesia,South-East Asia,1398578,511.32,44744,16.36,5633,37932,13.87,1211,0.44,175,Community transmission
Peru,Americas,1380023,4185.46,41726,126.55,5556,48163,146.07,1269,3.85,190,Community transmission
Czechia,Europe,1365724,12753.07,81436,760.45,14529,22624,211.26,1496,13.97,239,Community transmission
Netherlands,Europe,1133474,6615.01,32203,187.94,5330,15948,93.07,252,1.47,31,Community transmission
Canada,Americas,893518,2367.43,20771,55.03,2820,22304,59.1,259,0.69,28,Community transmission
Chile,Americas,867949,4540.38,32397,169.47,3885,21206,110.93,502,2.63,24,Community transmission
Romania,Europe,840116,4367.03,27798,144.5,4564,21156,109.97,570,2.96,100,Community transmission
Portugal,Europe,811948,7962.84,5322,52.19,642,16617,162.96,187,1.83,22,Clusters of cases
Israel,Europe,806257,9314.93,11647,134.56,0,5925,68.45,95,1.1,0,Community transmission
Belgium,Europe,794605,6856.18,12720,109.75,0,22347,192.82,150,1.29,0,Community transmission
Iraq,Eastern Mediterranean,740472,1840.94,31521,78.37,4846,13645,33.92,162,0.4,27,Community transmission
Sweden,Europe,701892,6949.93,26644,263.82,5892,13088,129.59,31,0.31,1,Community transmission
Philippines,Western Pacific,603308,550.56,21085,19.24,2880,12545,11.45,156,0.14,17,Community transmission
Pakistan,Eastern Mediterranean,595239,269.47,11323,5.13,1786,13324,6.03,311,0.14,43,Community transmission
Switzerland,Europe,565233,6531,6313,72.94,5,9320,107.69,35,0.4,0,Community transmission
Bangladesh,South-East Asia,553105,335.85,5175,3.14,1018,8496,5.16,68,0.04,7,Community transmission
Serbia,Europe,498696,7161.3,27755,398.56,4590,4620,66.34,129,1.85,21,Community transmission
Hungary,Europe,489172,5063.71,42994,445.06,8312,16497,170.77,1021,10.57,172,Community transmission
Morocco,Eastern Mediterranean,487286,1320.18,2533,6.86,453,8705,23.58,52,0.14,10,Clusters of cases
Austria,Europe,478826,5316.51,17143,190.34,2847,8594,95.42,124,1.38,12,Community transmission
Jordan,Eastern Mediterranean,448851,4399.15,41234,404.13,6649,5106,50.04,313,3.07,60,Community transmission
Japan,Western Pacific,443001,350.26,7453,5.89,1722,8402,6.64,350,0.28,49,Clusters of cases
United Arab Emirates,Eastern Mediterranean,417909,4225.4,18446,186.5,2204,1353,13.68,84,0.85,8,Community transmission
Lebanon,Eastern Mediterranean,405391,5939.41,21909,320.99,3581,5180,75.89,314,4.6,46,Community transmission
Saudi Arabia,Eastern Mediterranean,380958,1094.27,2625,7.54,386,6545,18.8,35,0.1,6,Sporadic cases
Panama,Americas,345759,8013.39,3740,86.68,523,5944,137.76,73,1.69,10,Community transmission
Slovakia,Europe,331571,6073.13,14412,263.97,1978,8244,151,684,12.53,98,Clusters of cases
Malaysia,Western Pacific,317717,981.64,11837,36.57,1448,1191,3.68,43,0.13,5,Clusters of cases
Belarus,Europe,298123,3154.97,7676,81.23,609,2063,21.83,61,0.65,8,Community transmission
Ecuador,Americas,296841,1682.48,7369,41.77,1727,16105,91.28,184,1.04,36,Community transmission
Nepal,South-East Asia,274973,943.73,592,2.03,104,3012,10.34,2,0.01,0,Clusters of cases
Georgia,Europe,274045,6869.73,2173,54.47,395,3622,90.8,69,1.73,9,Community transmission
Kazakhstan,Europe,270399,1440.08,4470,23.81,0,3456,18.41,67,0.36,0,Clusters of cases
Bulgaria,Europe,269579,3879.7,16396,235.97,2774,10999,158.29,586,8.43,97,Clusters of cases
Bolivia (Plurinational State of),Americas,255621,2189.84,5854,50.15,885,11858,101.58,192,1.64,13,Community transmission
Croatia,Europe,248838,6061.43,3966,96.61,777,5635,137.26,71,1.73,10,Community transmission
Dominican Republic,Americas,244168,2250.83,3395,31.3,390,3198,29.48,68,0.63,7,Community transmission
Tunisia,Eastern Mediterranean,239368,2025.35,4360,36.89,755,8292,70.16,218,1.84,24,Community transmission
Azerbaijan,Europe,237775,2345.11,2442,24.08,515,3257,32.12,27,0.27,7,Clusters of cases
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,229065,4490.23,14563,285.47,2331,2427,47.58,131,2.57,27,Community transmission
Ireland,Europe,224588,4548.35,3399,68.84,631,4499,91.11,142,2.88,47,Community transmission
Denmark,Europe,217798,3760.19,5000,86.32,2007,2382,41.12,12,0.21,1,Community transmission
Greece,Europe,212091,2034.83,14812,142.11,2629,6886,66.07,289,2.77,43,Community transmission
Costa Rica,Americas,207832,4079.84,2318,45.5,372,2848,55.91,28,0.55,7,Community transmission
Kuwait,Eastern Mediterranean,204388,4785.96,9607,224.96,1333,1144,26.79,47,1.1,3,Community transmission
Lithuania,Europe,203992,7493.4,3108,114.17,606,3363,123.54,69,2.53,12,Community transmission
Republic of Moldova,Europe,198228,4913.98,8831,218.92,1753,4183,103.69,157,3.89,33,Community transmission
Slovenia,Europe,197374,9493.98,5111,245.85,952,4180,201.06,17,0.82,1,Clusters of cases
Egypt,Eastern Mediterranean,188361,184.06,4193,4.1,645,11128,10.87,306,0.3,46,Clusters of cases
Guatemala,Americas,180393,1006.91,4982,27.81,830,6522,36.4,110,0.61,29,Community transmission
Armenia,Europe,176286,5949.09,2979,100.53,748,3239,109.31,31,1.05,2,Community transmission
Honduras,Americas,174508,1761.89,2750,27.76,265,4297,43.38,110,1.11,14,Community transmission
Paraguay,Americas,171985,2411.27,11537,161.75,2125,3360,47.11,162,2.27,17,Community transmission
Ethiopia,Africa,169878,147.77,7904,6.88,1543,2466,2.15,75,0.07,15,Community transmission
Qatar,Eastern Mediterranean,168361,5843.73,3290,114.19,473,264,9.16,4,0.14,0,Community transmission
Nigeria,Africa,159646,77.45,3150,1.53,394,1993,0.97,70,0.03,5,Community transmission
Oman,Eastern Mediterranean,145257,2844.48,2730,53.46,426,1600,31.33,17,0.33,3,Community transmission
Venezuela (Bolivarian Republic of),Americas,143321,504.01,3387,11.91,547,1399,4.92,46,0.16,8,Community transmission
Myanmar,South-East Asia,142073,261.12,89,0.16,14,3200,5.88,1,0,0,Clusters of cases
Libya,Eastern Mediterranean,141598,2060.72,6013,87.51,910,2330,33.91,111,1.62,33,Community transmission
Bosnia and Herzegovina,Europe,139652,4256.62,5670,172.82,1110,5382,164.04,208,6.34,37,Community transmission
Bahrain,Eastern Mediterranean,128428,7547.6,4897,287.79,628,476,27.97,23,1.35,2,Clusters of cases
Albania,Europe,114840,3990.55,5166,179.51,631,1986,69.01,130,4.52,17,Clusters of cases
Algeria,Africa,114681,261.52,1088,2.48,138,3026,6.9,30,0.07,4,Community transmission
Kenya,Africa,110356,205.23,3555,6.61,713,1898,3.53,32,0.06,12,Community transmission
North Macedonia,Europe,109262,5244.46,4714,226.27,912,3244,155.71,88,4.22,16,Community transmission
China,Western Pacific,102172,6.94,177,0.01,20,4849,0.33,4,0,1,Clusters of cases
Puerto Rico,Americas,102005,3565.54,1240,43.34,68,2067,72.25,19,0.66,1,Community transmission
Republic of Korea,Western Pacific,94198,183.73,2959,5.77,465,1652,3.22,33,0.06,4,Clusters of cases
Latvia,Europe,91636,4858.24,3614,191.6,639,1726,91.51,72,3.82,21,Community transmission
Ghana,Africa,86737,279.14,2388,7.69,272,656,2.11,45,0.14,9,Community transmission
Kyrgyzstan,Europe,86692,1328.78,282,4.32,52,1476,22.62,8,0.12,0,Clusters of cases
Sri Lanka,South-East Asia,86685,404.82,2459,11.48,342,511,2.39,27,0.13,0,Clusters of cases
Zambia,Africa,83333,453.29,3243,17.64,436,1140,6.2,32,0.17,3,Community transmission
Montenegro,Europe,81453,12968.86,2813,447.88,0,1092,173.87,53,8.44,0,Clusters of cases
Estonia,Europe,80929,6100.78,10319,777.89,1956,686,51.71,63,4.75,9,Clusters of cases
Uzbekistan,Europe,80347,240.06,312,0.93,79,622,1.86,0,0,0,Clusters of cases
Norway,Europe,76484,1410.82,4251,78.41,716,638,11.77,6,0.11,6,Community transmission
Kosovo[1],Europe,74565,4008.05,3829,205.82,529,1664,89.44,54,2.9,6,Community transmission
Uruguay,Americas,65527,1886.36,6356,182.97,827,666,19.17,49,1.41,8,Community transmission
Finland,Europe,63889,1153.08,3689,66.58,0,779,14.06,15,0.27,0,Community transmission
Mozambique,Africa,63174,202.12,2779,8.89,292,707,2.26,39,0.12,7,Community transmission
El Salvador,Americas,61677,950.9,1186,18.28,138,1929,29.74,51,0.79,6,Community transmission
Singapore,Western Pacific,60062,1026.64,83,1.42,10,29,0.5,0,0,0,Sporadic cases
Cuba,Americas,58379,515.41,5878,51.9,772,375,3.31,42,0.37,23,Community transmission
Luxembourg,Europe,57056,9114.7,1154,184.35,234,673,107.51,30,4.79,5,Community transmission
Afghanistan,Eastern Mediterranean,55917,143.64,142,0.36,23,2451,6.3,5,0.01,0,Clusters of cases
Uganda,Africa,40520,88.59,112,0.24,30,334,0.73,0,0,0,Community transmission
Namibia,Africa,40451,1591.99,1154,45.42,114,448,17.63,14,0.55,4,Community transmission
Cameroon,Africa,38988,146.87,3274,12.33,0,588,2.22,37,0.14,0,Community transmission
Cyprus,Europe,38065,3152.75,2445,202.51,415,235,19.46,3,0.25,2,Clusters of cases
Zimbabwe,Africa,36341,244.51,162,1.09,20,1489,10.02,11,0.07,0,Community transmission
Senegal,Africa,36195,216.17,1158,6.92,236,935,5.58,39,0.23,10,Community transmission
Côte d’Ivoire,Africa,36028,136.58,2743,10.4,697,206,0.78,12,0.05,2,Community transmission
Botswana,Africa,32912,1399.54,2185,92.91,0,413,17.56,81,3.44,0,Community transmission
Malawi,Africa,32614,170.49,385,2.01,86,1077,5.63,21,0.11,3,Community transmission
Sudan,Eastern Mediterranean,30686,69.98,168,0.38,0,1915,4.37,20,0.05,0,Community transmission
Australia,Western Pacific,29075,114.02,79,0.31,14,909,3.56,0,0,0,Clusters of cases
Jamaica,Americas,28273,954.79,4170,140.82,808,463,15.64,28,0.95,3,Community transmission
Democratic Republic of the Congo,Africa,26737,29.85,491,0.55,111,712,0.79,1,0,0,Community transmission
Thailand,South-East Asia,26598,38.11,436,0.62,58,85,0.12,0,0,0,Clusters of cases
Malta,Europe,25357,5742.82,2131,482.63,510,337,76.32,16,3.62,2,Clusters of cases
Angola,Africa,21161,64.39,238,0.72,47,516,1.57,6,0.02,0,Community transmission
Maldives,South-East Asia,21144,3911.61,864,159.84,110,64,11.84,1,0.18,0,Clusters of cases
Madagascar,Africa,20155,72.79,324,1.17,0,300,1.08,3,0.01,0,Community transmission
Rwanda,Africa,19846,153.22,648,5,67,271,2.09,6,0.05,1,Community transmission
Mayotte,Africa,18604,6819.27,1004,368.01,191,129,47.28,19,6.96,0,Community transmission
French Polynesia,Western Pacific,18509,6588.99,57,20.29,14,141,50.19,1,0.36,0,Sporadic cases
Mauritania,Africa,17385,373.9,133,2.86,20,442,9.51,0,0,0,Community transmission
Guinea,Africa,17208,131.03,1054,8.03,296,101,0.77,10,0.08,4,Community transmission
Eswatini,Africa,17203,1482.81,100,8.62,12,658,56.72,6,0.52,0,Community transmission
French Guiana,Americas,16693,5588.89,66,22.1,0,87,29.13,2,0.67,0,Community transmission
Gabon,Africa,16313,732.93,1059,47.58,298,93,4.18,5,0.22,2,Community transmission
Syrian Arab Republic,Eastern Mediterranean,16187,92.49,434,2.48,70,1079,6.17,34,0.19,5,Community transmission
Cabo Verde,Africa,15892,2858.34,334,60.07,66,155,27.88,5,0.9,1,Community transmission
Réunion,Africa,13801,1541.47,676,75.5,0,71,7.93,12,1.34,0,Community transmission
Tajikistan,Europe,13714,143.79,0,0,0,91,0.95,0,0,0,Pending
Haiti,Americas,12594,110.45,58,0.51,0,251,2.2,1,0.01,0,Community transmission
Belize,Americas,12345,3104.66,25,6.29,10,316,79.47,2,0.5,1,Community transmission
Burkina Faso,Africa,12230,58.51,159,0.76,43,143,0.68,0,0,0,Community transmission
Andorra,Europe,11130,14404.97,182,235.55,41,112,144.96,0,0,0,Community transmission
Lesotho,Africa,10525,491.31,30,1.4,2,309,14.42,14,0.65,1,Community transmission
Guadeloupe,Americas,10458,2613.69,490,122.46,0,168,41.99,4,1,0,Community transmission
Congo,Africa,9329,169.06,150,2.72,0,131,2.37,0,0,0,Community transmission
South Sudan,Africa,9092,81.22,678,6.06,222,102,0.91,2,0.02,0,Community transmission
Suriname,Americas,8985,1531.62,46,7.84,5,175,29.83,2,0.34,0,Clusters of cases
Guyana,Americas,8847,1124.78,221,28.1,33,204,25.94,7,0.89,1,Clusters of cases
Mali,Africa,8739,43.15,293,1.45,29,358,1.77,1,0,0,Community transmission
Somalia,Eastern Mediterranean,8713,54.82,986,6.2,136,327,2.06,67,0.42,8,Community transmission
Bahamas,Americas,8642,2197.62,69,17.55,0,185,47.04,4,1.02,0,Clusters of cases
Aruba,Americas,8177,7658.81,239,223.85,50,77,72.12,3,2.81,0,Community transmission
Togo,Africa,7737,93.46,549,6.63,57,92,1.11,7,0.08,0,Community transmission
Trinidad and Tobago,Americas,7736,552.77,19,1.36,0,140,10,1,0.07,0,Community transmission
Guam,Western Pacific,7546,4471.04,10,5.93,3,133,78.8,2,1.19,0,Clusters of cases
Martinique,Americas,6886,1834.97,140,37.31,0,47,12.52,2,0.53,0,Community transmission
Benin,Africa,6501,53.62,430,3.55,-3,81,0.67,6,0.05,0,Community transmission
Equatorial Guinea,Africa,6371,454.1,161,11.48,0,96,6.84,3,0.21,0,Community transmission
Djibouti,Eastern Mediterranean,6227,630.26,125,12.65,46,63,6.38,0,0,0,Community transmission
Iceland,Europe,6069,1778.5,11,3.22,2,29,8.5,0,0,0,Community transmission
Nicaragua,Americas,5216,78.74,40,0.6,0,175,2.64,1,0.02,0,Community transmission
Central African Republic,Africa,5021,103.96,24,0.5,0,63,1.3,0,0,0,Community transmission
Gambia,Africa,4851,200.73,116,4.8,92,153,6.33,2,0.08,1,Community transmission
Niger,Africa,4848,20.03,108,0.45,19,179,0.74,7,0.03,2,Community transmission
Curaçao,Americas,4830,2943.45,94,57.28,17,22,13.41,0,0,0,Community transmission
Gibraltar,Europe,4255,12629.49,12,35.62,6,93,276.04,0,0,0,Clusters of cases
Chad,Africa,4231,25.76,175,1.07,17,149,0.91,9,0.05,5,Community transmission
San Marino,Europe,4062,11968.88,233,686.55,32,77,226.88,2,5.89,0,Community transmission
Sierra Leone,Africa,3928,49.24,28,0.35,6,79,0.99,0,0,0,Community transmission
Saint Lucia,Americas,3902,2124.96,123,66.98,0,46,25.05,9,4.9,0,Community transmission
Comoros,Africa,3611,415.25,31,3.56,0,146,16.79,2,0.23,0,Community transmission
Mongolia,Western Pacific,3481,106.18,449,13.7,109,3,0.09,1,0.03,0,Clusters of cases
Barbados,Americas,3333,1159.81,193,67.16,0,37,12.88,1,0.35,0,Community transmission
Guinea-Bissau,Africa,3327,169.05,45,2.29,8,51,2.59,3,0.15,2,Community transmission
Jersey,Europe,3222,2961.4,4,3.68,2,69,63.42,0,0,0,Community transmission
Seychelles,Africa,3000,3050.42,151,153.54,11,14,14.24,3,3.05,0,Community transmission
Eritrea,Africa,2988,84.25,96,2.71,44,7,0.2,0,0,0,Community transmission
United States Virgin Islands,Americas,2755,2638.26,60,57.46,11,25,23.94,0,0,0,Community transmission
Liechtenstein,Europe,2670,7001.08,7,18.35,0,54,141.59,1,2.62,0,Sporadic cases
Yemen,Eastern Mediterranean,2631,8.82,264,0.89,41,662,2.22,18,0.06,7,Community transmission
Viet Nam,Western Pacific,2529,2.6,47,0.05,3,35,0.04,0,0,0,Clusters of cases
Burundi,Africa,2396,20.15,128,1.08,27,3,0.03,0,0,0,Community transmission
Turks and Caicos Islands,Americas,2177,5622.71,62,160.13,0,15,38.74,1,2.58,0,Clusters of cases
Sint Maarten,Americas,2076,4841.19,15,34.98,2,27,62.96,0,0,0,Community transmission
Monaco,Europe,2062,5254.31,82,208.95,14,26,66.25,0,0,0,Sporadic cases
New Zealand,Western Pacific,2060,42.72,27,0.56,6,26,0.54,0,0,0,Clusters of cases
Liberia,Africa,2026,40.06,9,0.18,2,85,1.68,0,0,0,Community transmission
Sao Tome and Principe,Africa,2010,917.14,129,58.86,33,32,14.6,2,0.91,0,Community transmission
Papua New Guinea,Western Pacific,1741,19.46,312,3.49,0,21,0.23,5,0.06,0,Community transmission
Saint Vincent and the Grenadines,Americas,1670,1505.32,25,22.53,7,8,7.21,0,0,0,Community transmission
Saint Martin,Americas,1581,4089.6,27,69.84,0,12,31.04,0,0,0,Community transmission
Cambodia,Western Pacific,1163,6.96,254,1.52,39,0,0,0,0,0,Sporadic cases
Bhutan,South-East Asia,868,112.49,1,0.13,0,1,0.13,0,0,0,Sporadic cases
Isle of Man,Europe,868,1020.79,374,439.83,111,25,29.4,0,0,0,No cases
Antigua and Barbuda,Americas,862,880.23,93,94.97,0,22,22.47,4,4.08,0,Clusters of cases
Guernsey,Europe,821,1299.13,0,0,0,14,22.15,0,0,0,Community transmission
Other,Other,745,,0,,0,13,,0,,0,Not applicable
Bermuda,Americas,724,1162.62,11,17.66,0,12,19.27,0,0,0,Sporadic cases
Saint Barthélemy,Americas,671,6788.06,59,596.86,0,0,0,0,0,0,Clusters of cases
Faroe Islands,Europe,660,1350.66,2,4.09,0,1,2.05,0,0,0,Sporadic cases
Mauritius,Africa,641,50.4,22,1.73,0,10,0.79,0,0,0,Sporadic cases
Bonaire,Americas,561,2682.29,137,655.03,23,5,23.91,1,4.78,0,Community transmission
Tanzania,Africa,509,0.85,0,0,0,21,0.04,0,0,0,Pending
Cayman Islands,Americas,460,699.94,13,19.78,9,2,3.04,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,192,43.89,5,1.14,1,3,0.69,0,0,0,Sporadic cases
British Virgin Islands,Americas,154,509.31,1,3.31,0,1,3.31,0,0,0,Clusters of cases
Dominica,Americas,151,209.75,7,9.72,0,0,0,0,0,0,Clusters of cases
Grenada,Americas,151,134.19,0,0,0,1,0.89,0,0,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,146,253.66,2,3.47,0,2,3.47,0,0,0,Pending
Timor-Leste,South-East Asia,145,11,32,2.43,3,0,0,0,0,0,Clusters of cases
Wallis and Futuna,Western Pacific,100,889.21,91,809.18,19,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,74,25.92,16,5.6,4,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,66,7.36,3,0.33,0,2,0.22,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,51,1464.25,0,0,0,0,0,0,0,0,No cases
Lao People's Democratic Republic,Western Pacific,48,0.66,3,0.04,1,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,41,77.08,0,0,0,0,0,0,0,0,Sporadic cases
Greenland,Europe,31,54.6,0,0,0,0,0,0,0,0,No cases
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,24,414.15,0,0,0,0,0,0,0,0,No cases
Montserrat,Americas,20,400.08,0,0,0,1,20,0,0,0,Sporadic cases
Sint Eustatius,Americas,20,637.15,0,0,0,0,0,0,0,0,No cases
Anguilla,Americas,18,119.98,0,0,0,0,0,0,0,0,Sporadic cases
Solomon Islands,Western Pacific,18,2.62,0,0,0,0,0,0,0,0,No cases
Saba,Americas,6,310.4,0,0,0,0,0,0,0,0,No cases
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,4,2.02,0,0,0,0,0,0,0,0,No cases
Vanuatu,Western Pacific,3,0.98,2,0.65,0,0,0,0,0,0,No cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0,No cases
