ID;DATE;ISO_3;COUNTRY;ID_COUNTRY;REGION;ID_REGION;INFECTED;INFECTED_WOMEN;INFECTED_MEN;INFECTED_GENDER_NOT_SPECIFIED;CUMUL_INFECTED;HOSPITALIZED;CUMUL_HOSPITALIZED;DEATHS;DEATHS_WOMEN;DEATHS_MEN;DEATHS_GENDER_NOT_SPECIFIED;CUMUL_DEATHS;RECOVERIES;RECOVERIES_WOMEN;RECOVERIES_MEN;RECOVERIES_GENDER_NOT_SPECIFIED;CUMUL_RECOVERIES;SOURCE;SOURCE_LINK;COMMENTS
1;28/01/2021;GUI;Guinée;7;Labé;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315648";
2;28/01/2021;GUI;Guinée;7;Boké;74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315649";
3;28/01/2021;GUI;Guinée;7;Kindia;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315650";
4;28/01/2021;GUI;Guinée;7;Mamou;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315651";
5;28/01/2021;GUI;Guinée;7;Conakry;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315652";
6;28/01/2021;GUI;Guinée;7;Faranah;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315653";
7;28/01/2021;GUI;Guinée;7;Kankan;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315654";
8;28/01/2021;GUI;Guinée;7;Nzérékoré;80;1;1;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315655";Results came from two different laboratories, in Conakry and Gueckedou (Nzérékoré). All individuals are over 25 years old.
9;28/01/2021;GUI;Guinée;7;Non spécifié;81;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315656";
10;14/02/2021;GUI;Guinée;7;Labé;73;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315657";
11;14/02/2021;GUI;Guinée;7;Boké;74;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315658";
12;14/02/2021;GUI;Guinée;7;Kindia;75;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315659";
13;14/02/2021;GUI;Guinée;7;Mamou;76;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315660";
14;14/02/2021;GUI;Guinée;7;Conakry;77;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315661";
15;14/02/2021;GUI;Guinée;7;Faranah;78;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315662";
16;14/02/2021;GUI;Guinée;7;Kankan;79;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315663";
17;14/02/2021;GUI;Guinée;7;Nzérékoré;80;6;3;3;0;7;4;4;2;1;1;0;3;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315664";Results came from two different laboratories, in Conakry and Gueckedou (Nzérékoré). All individuals are over 25 years old.
18;14/02/2021;GUI;Guinée;7;Non spécifié;81;0;0;0;0;7;0;4;0;0;0;0;3;0;0;0;0;0;"ANSS ; France24";"https://www.france24.com/fr/afrique/20210214-retour-de-l-épidémie-d-ebola-en-guinée-avec-7-cas-confirmés-dont-3-décès ; https://twitter.com/anss_guinee/status/1360945332956315665";